#  n   k     p    avgNumOfCCs  stdevNumOfCCs     avgMSTCost avgMSTDiameter
  50 300     0             50              0              0              0
  50 300  0.02          25.97        4.64066       0.486355       0.193333
  50 300  0.04        9.54667        3.13919         2.1468        1.66667
  50 300  0.06           3.58        1.74268        5.99133        5.88333
  50 300  0.08        1.89333       0.960185        9.23894        10.9033
  50 300   0.1            1.3       0.544671        9.88353          14.51
  50 300  0.12        1.06667       0.249444        9.50654        16.2533
  50 300  0.14        1.03333       0.197203        8.33594        16.5167
  50 300  0.16        1.01333       0.114698        7.41569          16.66
  50 300  0.18              1              0        6.63165        16.5367
  50 300   0.2              1              0         5.9015        16.5567
  50 300  0.22        1.00333      0.0576387        5.38298        16.7333
  50 300  0.24              1              0        4.91885        16.6333
  50 300  0.26              1              0         4.5052          16.52
  50 300  0.28              1              0        4.24909           16.6
  50 300   0.3              1              0        3.96306        16.7833
  50 300  0.32              1              0        3.70964        16.7133
  50 300  0.34              1              0        3.48537        16.5233
  50 300  0.36              1              0        3.32366          16.63
  50 300  0.38              1              0        3.16965          17.07
  50 300   0.4              1              0        2.94808        16.8133
  50 300  0.42              1              0        2.83279        16.6333
  50 300  0.44              1              0        2.69885        16.4467
  50 300  0.46              1              0        2.56789        16.6933
  50 300  0.48              1              0        2.51543        16.5633
  50 300   0.5              1              0        2.38767        16.5433
  50 300  0.52              1              0        2.32301        16.7267
  50 300  0.54              1              0        2.21061        16.6533
  50 300  0.56              1              0         2.1366        16.4667
  50 300  0.58              1              0        2.06679          16.97
  50 300   0.6              1              0         1.9875        16.4767
  50 300  0.62              1              0        1.91407        16.6733
  50 300  0.64              1              0        1.86696          16.66
  50 300  0.66              1              0        1.79776        16.6033
  50 300  0.68              1              0        1.73906          16.39
  50 300   0.7              1              0        1.70031        16.8533
  50 300  0.72              1              0        1.67424        16.6633
  50 300  0.74              1              0        1.62837        16.4767
  50 300  0.76              1              0        1.57645          16.51
  50 300  0.78              1              0        1.54963          16.67
  50 300   0.8              1              0        1.50129          16.55
  50 300  0.82              1              0        1.45317        16.6667
  50 300  0.84              1              0        1.43561        16.7367
  50 300  0.86              1              0        1.38385          16.63
  50 300  0.88              1              0        1.38037          16.78
  50 300   0.9              1              0        1.31272        16.6367
  50 300  0.92              1              0        1.29722          16.69
  50 300  0.94              1              0        1.26483        16.5367
  50 300  0.96              1              0        1.24693        16.5933
  50 300  0.98              1              0        1.22108          16.77
  50 300     1              1              0        1.19452          16.87
# time: 18.5581
