# N  k    r    avgIters       stdev          
20   500  0.0  3.62800000     0.49154450     
20   500  0.1  3.64800000     0.48176343     
20   500  0.2  3.52400000     0.50341236     
20   500  0.3  3.44400000     0.50878679     
20   500  0.4  3.36000000     0.48000000     
20   500  0.5  3.22600000     0.43694851     
20   500  0.6  3.09200000     0.35712183     
20   500  0.7  2.95000000     0.36810325     
20   500  0.8  2.72200000     0.46980421     
20   500  0.9  2.37600000     0.48849156     
50   500  0.0  6.45800000     0.54427567     
50   500  0.1  6.41000000     0.52716221     
50   500  0.2  6.27400000     0.50092315     
50   500  0.3  6.07600000     0.44969323     
50   500  0.4  5.88000000     0.48332184     
50   500  0.5  5.54400000     0.51387158     
50   500  0.6  5.22600000     0.48879853     
50   500  0.7  4.90200000     0.46946352     
50   500  0.8  4.45400000     0.50978819     
50   500  0.9  3.83800000     0.46016953     
100  500  0.0  10.13600000    0.57402439     
100  500  0.1  10.04400000    0.61486909     
100  500  0.2  9.77400000     0.57525994     
100  500  0.3  9.46600000     0.57692634     
100  500  0.4  8.98400000     0.57248930     
100  500  0.5  8.50000000     0.59833101     
100  500  0.6  7.98600000     0.50774403     
100  500  0.7  7.36000000     0.54258640     
100  500  0.8  6.59000000     0.52716221     
100  500  0.9  5.52800000     0.53029803     
200  500  0.0  15.97200000    0.64126126     
200  500  0.1  15.77800000    0.67284173     
200  500  0.2  15.28000000    0.61449166     
200  500  0.3  14.60200000    0.62257208     
200  500  0.4  13.91400000    0.61204902     
200  500  0.5  13.07200000    0.60894663     
200  500  0.6  12.20000000    0.56213877     
200  500  0.7  11.12200000    0.59255042     
200  500  0.8  9.85400000     0.59387204     
200  500  0.9  8.19800000     0.50871996     
500  500  0.0  29.36600000    0.76160620     
500  500  0.1  28.79000000    0.80118662     
500  500  0.2  27.68800000    0.75010399     
500  500  0.3  26.28600000    0.75644167     
500  500  0.4  24.84400000    0.73189070     
500  500  0.5  23.17000000    0.74639132     
500  500  0.6  21.44200000    0.74473888     
500  500  0.7  19.45400000    0.72102982     
500  500  0.8  17.17200000    0.66212990     
500  500  0.9  13.95800000    0.61011147     
1000 500  0.0  46.53000000    0.91054928     
1000 500  0.1  45.45400000    0.88537224     
1000 500  0.2  43.58200000    0.85280478     
1000 500  0.3  41.28000000    0.87726849     
1000 500  0.4  38.79000000    0.82091412     
1000 500  0.5  36.20000000    0.83186537     
1000 500  0.6  33.31400000    0.88735788     
1000 500  0.7  30.04000000    0.83330667     
1000 500  0.8  26.31600000    0.75640201     
1000 500  0.9  21.16600000    0.74191913     
2000 500  0.0  73.72800000    1.00499552     
2000 500  0.1  71.93600000    0.94652205     
2000 500  0.2  68.64400000    0.99863106     
2000 500  0.3  64.81000000    0.98076501     
2000 500  0.4  60.80000000    0.96953597     
2000 500  0.5  56.50200000    0.93058906     
2000 500  0.6  51.87400000    0.98291607     
2000 500  0.7  46.71200000    0.89724913     
2000 500  0.8  40.60600000    0.89373598     
2000 500  0.9  32.52800000    0.79070601     
3000 500  0.0  96.48000000    0.99679486     
3000 500  0.1  94.02600000    1.10694354     
3000 500  0.2  89.67800000    1.06691893     
3000 500  0.3  84.60800000    1.10920512     
3000 500  0.4  79.10800000    1.06034711     
3000 500  0.5  73.51800000    1.07966476     
3000 500  0.6  67.33400000    1.05567230     
3000 500  0.7  60.56400000    1.03436164     
3000 500  0.8  52.66600000    0.90908965     
3000 500  0.9  41.88600000    0.91269053     
# time: 816.9 seconds.
